Locus Tag	Half Life combined fit	stdev_half_life_ABC
SYNPCC7002_G0074	0.586	0.471
SYNPCC7002_A1238	0.587	0.174
SYNPCC7002_A1132	0.587	0.364
SYNPCC7002_A0030	0.587	0.279
SYNPCC7002_G0064	0.587	0.322
SYNPCC7002_A0483	0.588	0.180
SYNPCC7002_A0840	0.590	0.123
SYNPCC7002_A1944	0.590	0.641
SYNPCC7002_A2837	0.590	0.428
SYNPCC7002_A1438	0.591	0.458
SYNPCC7002_A0721	0.591	0.212
SYNPCC7002_A1725	0.591	0.863
SYNPCC7002_A0244	0.591	0.148
SYNPCC7002_A0543	0.592	0.126
SYNPCC7002_A1593	0.593	0.089
SYNPCC7002_A2538	0.593	0.031
SYNPCC7002_A2651	0.593	0.133
SYNPCC7002_A0380	0.593	0.282
SYNPCC7002_A1643	0.594	0.279
SYNPCC7002_A0598	0.594	0.010
SYNPCC7002_A2798	0.594	0.235
SYNPCC7002_A0366	0.595	0.041
SYNPCC7002_A2072	0.595	0.069
SYNPCC7002_E0022	0.595	0.597
SYNPCC7002_A0874	0.596	0.195
SYNPCC7002_A2251	0.597	0.051
SYNPCC7002_A2780	0.600	0.091
SYNPCC7002_A0999	0.600	0.117
SYNPCC7002_A2858	0.601	0.110
SYNPCC7002_A1808	0.602	2.878
SYNPCC7002_A2562	0.603	0.139
SYNPCC7002_A0597	0.603	0.064
SYNPCC7002_A2689	0.604	0.667
SYNPCC7002_A0791	0.604	0.152
SYNPCC7002_A1659	0.604	0.096
SYNPCC7002_A1967	0.604	0.239
SYNPCC7002_A1464	0.604	0.367
SYNPCC7002_A0645	0.605	0.222
SYNPCC7002_A2443	0.605	0.022
SYNPCC7002_A2782	0.606	0.505
SYNPCC7002_A2065	0.607	0.014
SYNPCC7002_A0518	0.607	0.044
SYNPCC7002_A1710	0.607	0.634
SYNPCC7002_A1346	0.608	0.264
SYNPCC7002_A0934	0.608	0.392
SYNPCC7002_A0195	0.609	0.372
SYNPCC7002_A1354	0.611	0.251
SYNPCC7002_G0104	0.612	0.390
SYNPCC7002_G0013	0.612	0.144
SYNPCC7002_A2631	0.612	0.614
SYNPCC7002_A0170	0.614	2.547
SYNPCC7002_C0003	0.614	0.495
SYNPCC7002_G0113	0.614	0.105
SYNPCC7002_A0464	0.615	0.068
SYNPCC7002_A0243	0.615	0.515
SYNPCC7002_A1836	0.615	0.036
SYNPCC7002_A1116	0.617	0.286
SYNPCC7002_A2496	0.617	0.302
SYNPCC7002_A2073	0.617	0.219
SYNPCC7002_A2514	0.617	1.027
SYNPCC7002_A1147	0.619	0.043
SYNPCC7002_A0493	0.619	0.016
SYNPCC7002_G0007	0.620	0.292
SYNPCC7002_A0084	0.621	0.064
SYNPCC7002_A2055	0.622	0.073
SYNPCC7002_A0012	0.623	0.159
SYNPCC7002_A2309	0.623	0.223
SYNPCC7002_A1148	0.623	0.095
SYNPCC7002_F0084	0.624	0.105
SYNPCC7002_A0706	0.624	0.054
SYNPCC7002_A1675	0.625	0.203
SYNPCC7002_A1937	0.625	0.261
SYNPCC7002_A2312	0.627	0.176
SYNPCC7002_A1970	0.628	0.450
SYNPCC7002_A0833	0.628	0.631
SYNPCC7002_A2436	0.628	0.440
SYNPCC7002_A1256	0.630	0.078
SYNPCC7002_G0091	0.630	0.504
SYNPCC7002_A1021	0.630	0.059
SYNPCC7002_A1020	0.631	0.064
SYNPCC7002_G0016	0.631	0.981
SYNPCC7002_A2618	0.631	0.355
SYNPCC7002_A0649	0.631	0.481
SYNPCC7002_F0066	0.632	0.561
SYNPCC7002_A1919	0.633	0.115
SYNPCC7002_A1637	0.634	0.124
SYNPCC7002_F0006	0.634	0.009
SYNPCC7002_A2551	0.634	0.897
SYNPCC7002_A2397	0.635	0.067
